hip,bibcode,nbmes,obsdate,qual,quality,velType,velValue,velValue_prec,remark,remarks,oidref,hipnospace
HIP   5315,1929ApJ....70..207A,3.0,,,,v  ,-94.9000015258789,1.0,,,1392218,HIP5315
HIP   5700,2004A&A...418..989N,2.0,,,A,v  ,-39.400001525878906,1.0,,,3244956,HIP5700
HIP   5700,2006AstL...32..759G,,,,A,V  ,-39.3,2.0,,,3244956,HIP5700
HIP   5817,2004A&A...418..989N,2.0,,,A,v  ,55.79999923706055,1.0,,,3213107,HIP5817
HIP   5817,2006AstL...32..759G,,,,A,V  ,56.0,2.0,,,3213107,HIP5817
HIP   5817,2011A&A...531A...8J,,,,B,v  ,55.8,1.0,,,3213107,HIP5817
HIP   5862,2007A&A...465..271R,,,,A,v  ,11.7,1.0,,,3168568,HIP5862
HIP   5862,1911PLicO...9...71W,5.0,,,,v  ,11.800000190734863,1.0,,,3168568,HIP5862
HIP   5862,1913LicOB...7..113C,1.0,,,,v  ,11.800000190734863,1.0,,,3168568,HIP5862
HIP   5862,1928PLicO..16....1C,7.0,,,,v  ,11.300000190734863,1.0,,,3168568,HIP5862
HIP   5862,1953GCRV..C......0W,12.0,,,A,v  ,11.5,1.0,,##,3168568,HIP5862
HIP   5862,1970MNRAS.148..489F,3.0,,,,v  ,11.800000190734863,1.0,,,3168568,HIP5862
HIP   5862,2004A&A...418..989N,5.0,,,A,v  ,11.699999809265137,1.0,,,3168568,HIP5862
HIP   5862,2005ApJS..159..141V,,,,A,V  ,12.7,2.0,,,3168568,HIP5862
HIP   6177,2015A&A...573A.126D,1.0,53262.5,,,v  ,42.0,2.0,,,3168549,HIP6177
HIP   6177,2006AstL...32..759G,,,,A,V  ,41.6,2.0,,,3168549,HIP6177
HIP   6177,2006A&A...460..695T,1.0,,,,v  ,41.70000076293945,1.0,,,3168549,HIP6177
HIP   6177,2004A&A...418..989N,3.0,,,A,v  ,41.400001525878906,1.0,,,3168549,HIP6177
HIP   6607,2007A&A...465..271R,,,,A,v  ,84.3,1.0,,,1248578,HIP6607
HIP   6607,1957MNRAS.117..534E,4.0,,,,v  ,87.19999694824219,1.0,,,1248578,HIP6607
HIP   6607,1979IAUS...30...57E,4.0,,,B,v  ,87.19999694824219,1.0,,##,1248578,HIP6607
HIP   6607,2004A&A...418..989N,4.0,,,A,v  ,84.30000305175781,1.0,,,1248578,HIP6607
HIP   6607,2006AstL...32..759G,,,,A,V  ,84.5,2.0,,,1248578,HIP6607
HIP   6653,2013A&A...552A..64S,,,,A,z  ,1.051,3.0,,,1393117,HIP6653
HIP   6653,2004A&A...418..989N,4.0,,,A,v  ,0.6000000238418579,1.0,,,1393117,HIP6653
